year,region,males_over_15,total_population
2016,Riyadh,3723631,8002100
2016,Makkah,3721579,8325304
2016,Madinah,887182,2080436
2016,Qassim,623023,1387996
2016,Eastern Region,2257284,4780619
2016,Asir,872705,2164172
2016,Tabouk,366547,890922
2016,Hail,286933,684619
2016,Northern Border,144983,359235
2016,Jazan,615221,1533680
2016,Najran,230414,569332
2016,Al-Baaha,191950,466384
2016,Al-Jouf,207451,497509
2017,Riyadh,3848667,8216284
2017,Makkah,3860166,8557766
2017,Madinah,919389,2132679
2017,Qassim,644295,1423935
2017,Eastern Region,2327947,4900325
2017,Asir,906932,2211875
2017,Tabouk,377330,910030
2017,Hail,296702,699774
2017,Northern Border,148865,365231
2017,Jazan,634254,1567547
2017,Najran,238083,582243
2017,Al-Baaha,199155,476172
2017,Al-Jouf,214111,508475
